儀器,2P敘述,4P敘述
雲無留蹟的過客,治療量提高 10% 。,在戰鬥開始時，立即為我方恢覆1個戰技點。
野穗伴行的快槍手,攻擊力提高 12% 。,使裝備者的速度提高 6% ，普攻造成的傷害提高 10% 。
淨庭教宗的聖騎士,防御力提高 15% 。,使裝備者提供的護盾量提高 20% 。
密林臥雪的獵人,冰屬性傷害提高 10% 。,當裝備者施放終結技時，暴擊傷害提高 25% ，持續 2 回合。
街頭出身的拳王,物理屬性傷害提高 10% 。,當裝備者施放攻擊或受到攻擊後，其在本場戰鬥中攻擊力提高 5% ，最多疊加 5 層。
戍衛風雪的鐵衛,受到傷害降低 8% 。,回合開始時，如果裝備者當前生命值百分比小於等於 50% ，則回覆等同於自身生命上限 8% 的生命值，並恢覆 5 點能量。
熔岩鍛鑄的火匠,火屬性傷害提高 10% 。,使裝備者戰技造成的傷害提高 12% ，並使施放終結技後的下一次攻擊造成的火屬性傷害提高 12% 。
繁星璀璨的天才,量子屬性傷害提高 10% 。,當裝備者對敵方目標造成傷害時，無視其 10% 的防御力。若目標擁有量子屬性弱點，額外無視其 10% 的防御力。
激奏雷電的樂隊,雷屬性傷害提高 10% 。,當裝備者施放戰技時，使裝備者的攻擊力提高 20% ，持續 1 回合。
晨昏交界的翔鷹,風屬性傷害提高 10% 。,當裝備者施放終結技後，使其行動提前 25% 。
流星追蹟的怪盜,擊破特攻提高 16% 。,使裝備者的擊破特攻提高 16% 。當裝備者擊破敵方目標弱點後，恢覆 3 點能量。
盜匪荒漠的廢土客,虛數屬性傷害提高 10% 。,裝備者對陷入負面效果的敵方目標造成傷害時暴擊率提高 10% ，對陷入禁錮狀態的敵方目標造成傷害時暴擊傷害提高 20% 。
寶命長存的蒔者,生命上限提高 12% 。,當裝備者受到攻擊或被我方目標消耗生命值後，暴擊率提高 8% ，持續 2 回合，該效果最多疊加 2 層。
駭域漫遊的信使,速度提高 6% 。,當裝備者對我方目標施放終結技時，我方全體速度提高 12% ，持續 1 回合，該效果無法疊加。
毀燼焚骨的大公,追加攻擊造成的傷害提高 20% 。,裝備者施放追加攻擊時，根據追加攻擊造成傷害的次數，每次造成傷害時使裝備者的攻擊力提高 6% ，最多疊加 8 次，持續 3 回合。該效果在裝備者下一次施放追加攻擊時移除。
幽鎖深牢的係囚,攻擊力提高 12% 。,敵方目標每承受1個持續傷害效果，裝備者對其造成傷害時就無視其 6% 的防御力，最多計入 3 個持續傷害效果。
死水深潛的先驅,對受負面狀態影響的敵人造成的傷害提高 12% 。,暴擊率提高 4% ，裝備者對陷入不少於 2 / 3 個負面效果的敵方目標造成的暴擊傷害提高 8% / 12% 。裝備者對敵方目標施加負面效果後，上述效果提高 100% ，持續 1 回合。
機心戲夢的鐘錶匠,擊破特攻提高 16% 。,當裝備者對我方目標施放終結技時，我方全體擊破特攻提高 30% ，持續 2 回合，該效果無法疊加。
蕩除蠹災的鐵騎,擊破特攻提高 16% 。,當裝備者的擊破特攻大於等於 150% 時，對敵方目標造成的擊破傷害無視其 10% 的防御力。當裝備者的擊破特攻大於等於 250% 時，對敵方目標造成的超擊破傷害額外無視其 15% 的防御力。
風舉雲飛的勇烈,攻擊力提高 12% 。,使裝備者的暴擊率提高 6% ，裝備者施放追加攻擊時，使終結技造成的傷害提高 36% ，持續 1 回合。
重循苦旅的司鐸,速度提高 6% 。,對我方單體目標施放戰技或終結技時，使技能目標的暴擊傷害提高 18% ，持續 2 回合，該效果最多疊加 2 次。
識海迷墜的學者,暴擊率提高 8% 。,戰技和終結技造成的傷害提高 20% ，施放終結技後，下一次施放戰技時造成的傷害額外提高 25% 。
凱歌祝捷的英豪,攻擊力提高 12% 。,裝備者的憶靈在場時，裝備者的速度提高 6% ，裝備者的憶靈攻擊時，裝備者和憶靈的暴擊傷害提高 30% ，持續 2 回合。
哀歌覆國的詩人,量子屬性傷害提高 10% 。,使裝備者的速度降低 8% 。進入戰鬥前，若裝備者的速度小於 110 / 95 ，使裝備者的暴擊率提高 20% / 32% 。該效果同時對裝備者的憶靈生效。
烈陽驚雷的女武神,速度提高 6% 。,當裝備者及其憶靈為裝備者及其憶靈以外的我方目標提供治療後，使裝備者獲得【甘霖】，每回合最多觸發1次，持續 2 回合。裝備者持有【甘霖】時，速度提高 6% ，我方全體暴擊傷害提高 15% ，該效果無法疊加。
惡海逐波的船長,暴擊傷害提高 16% 。,裝備者成為其他我方目標的技能目標時，獲得1層【助力】，最多疊加 2 層。施放終結技時，若持有 2 層【助力】，消耗所有【助力】，使裝備者攻擊力提高 48% ，持續 1 回合。
太空封印站,使裝備者的攻擊力提高 12% 。當裝備者的速度大於等於 120 時，攻擊力額外提高 12% 。,
不老者的仙舟,使裝備者的生命上限提高 12% 。當裝備者的速度大於等於 120 時，我方全體攻擊力提高 8% 。,
泛銀河商業公司,使裝備者的效果命中提高 10% 。同時提高裝備者等同於當前效果命中 25% 的攻擊力，最多提高 25% 。,
築城者的貝洛伯格,使裝備者的防御力提高 15% 。當裝備者的效果命中大於等於 50% 時，防御力額外提高 15% 。,
星體差分機,使裝備者的暴擊傷害提高 16% 。當裝備者的暴擊傷害大於等於 120% 時，進入戰鬥後裝備者的暴擊率提高 60% ，持續到施放首次攻擊後結束。,
停轉的薩爾索圖,使裝備者的暴擊率提高 8% 。當裝備者當前暴擊率大於等於 50% 時，終結技和追加攻擊造成的傷害提高 15% 。,
盜賊公國塔利亞,使裝備者的擊破特攻提高 16% 。當裝備者的速度大於等於 145 時，擊破特攻額外提高 20% 。,
生命的翁瓦克,使裝備者的能量恢覆效率提高 5% 。當裝備者的速度大於等於 120 時，進入戰鬥時立刻使行動提前 40% 。,
繁星競技場,使裝備者的暴擊率提高 8% 。當裝備者的當前暴擊率大於等於 70% 時，普攻和戰技造成的傷害提高 20% 。,
折斷的龍骨,使裝備者的效果抵抗提高 10% 。當裝備者的效果抵抗大於等於 30% 時，我方全體暴擊傷害提高 10% 。,
蒼穹戰線格拉默,使裝備者的攻擊力提高 12% 。當裝備者的速度大於等於 135 / 160 時，使裝備者造成的傷害提高 12% / 18% 。,
夢想之地匹諾康尼,使裝備者的能量恢覆效率提高 5% 。使隊伍中與裝備者屬性相同的我方其他角色造成的傷害提高 10% 。,
無主荒星茨岡尼亞,使裝備者的暴擊率提高 4% 。當敵方目標被消滅時，裝備者暴擊傷害提高 4% ，最多疊加 10 層。,
出雲顯世與高天神國,使裝備者的攻擊力提高 12% 。進入戰鬥時，若至少存在一名與裝備者命途相同的隊友，裝備者的暴擊率提高 12% 。,
奔狼的都藍王朝,我方角色施放追加攻擊時，裝備者獲得一層【功勳】，最多疊加 5 層，每層【功勳】使裝備者追加攻擊造成的傷害提高 5% ，疊滿 5 層時，額外使裝備者的暴擊傷害提高 25% 。,
劫火蓮燈鑄煉宮,使裝備者的速度提高 6% 。當裝備者擊中擁有火屬性弱點的敵方目標時，擊破特攻提高 40% ，持續 1 回合。,
沈陸海域露莎卡,使裝備者的能量恢覆效率提高 5% ，如果裝備者不是編隊中的第一位角色，使編隊中的第一位角色攻擊力提高 12% 。,
奇想蕉樂園,使裝備者的暴擊傷害提高 16% ，當存在裝備者召喚的目標時，暴擊傷害額外提高 32% 。,
謐寧拾骨地,使裝備者的生命上限提高 12% 。當裝備者的生命上限大於等於 5000 點時，使裝備者及其憶靈的暴擊傷害提高 28% 。,
淵思寂慮的巨樹,使裝備者的速度提高 6% 。當裝備者的速度大於等於 135 / 180 時，使裝備者及其憶靈的治療量提高 12% / 20% 。,
妖精織夢的樂園,隊伍中當前在場的我方目標數量不等於4時，每多/少1名我方目標，使裝備者及其憶靈造成的傷害提高 9% / 12% ，最多疊加 4 / 3 層。,
沈歡醉飲的海隅,使裝備者的攻擊力提高 12% 。當裝備者的攻擊力大於等於 2400 / 3600 時，使造成的持續傷害額外提高 12% / 24% 。,